Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
SUPN,"Supernus Pharm",2813183000,19.15,2.62,73870000,0.78,0.00,0.00%,2025-11-03
SXC,"Suncoke Energy Inc",680715000,9.35,0.86,95900000,1.07,0.48,5.97%,2025-10-30
SXI,"Standex International Corp",2822616000,29.73,7.85,55760000,1.15,1.28,0.55%,2025-11-04
SXT,"Sensient Technologies Corp",4067392000,29.47,3.25,124670000,0.56,1.64,1.71%,2025-10-31
TALO,"Talos Energy Inc",1594628000,0,-0.36,-76390000.,0.74,0.00,0.00%,2025-11-05
TBBK,"The Bancorp Inc",3290883000,15.36,4.65,217540000,1.31,0.00,0.00%,2025-10-30
TDC,"Teradata Corp",1961820000,14.32,1.45,114000000,0.77,0.00,0.00%,2025-11-04
TDS,"Telephone and Data Systems",4426351000,0,-0.22,-28000000.,0.39,0.16,0.42%,2025-11-07
TDW,"Tidewater Inc",2390464000,13.31,3.63,180660000,1.05,0.00,0.00%,2025-11-06
TFIN,"Triumph Financial Inc",1252785000,103.37,0.51,16090000,1.31,0.00,0.00%,2025-10-15
TFX,"Teleflex Inc",5662450000,9.14,14.02,69680000,1.05,1.36,1.06%,2025-10-30
TGNA,"Tegna Inc",3213067000,6.74,2.96,599820000,0.25,0.5,2.51%,2025-11-06
TGTX,"Tg Therapeutics",5500950000,93.7,0.37,23380000,1.97,0.00,0.00%,2025-11-03
THRM,"Gentherm Inc",1041648000,16.33,2.09,64950000,1.39,0.00,0.00%,2025-10-23
THRY,"Thryv Holdings Inc",486811000,0,-2.37,-74220000.,0.92,0.00,0.00%,2025-10-30
THS,"Treehouse Foods",979195000,10.26,1.89,26900000,0.26,0.00,0.00%,2025-11-11
TILE,"Interface Inc",1585112000,16.26,1.67,86950000,2.07,0.05,0.18%,2025-10-31
TMDX,"Transmedics Group Inc",4010007000,60.95,1.93,35460000,2.08,0.00,0.00%,2025-10-29
TMP,Tompkinstrustco,915116000,11.44,5.54,70850000,0.88,2.48,3.91%,2025-10-24
TNC,"Tennant Company",1469578000,14.41,5.52,83700000,1.06,1.18,1.48%,2025-10-30
TNDM,"Tandem Diabetes Care",999346000,0,-1.95,-96030000.,1.48,0.00,0.00%,2025-11-06
TPH,"Tri Pointe Homes Inc",2897813000,7.95,4.02,458030000,1.3,0.00,0.00%,2025-10-23
TR,"Tootsie Roll Industries",3174934000,34.88,1.25,86830000,0.45,0.357,0.82%,2025-10-22
TRIP,"Tripadvisor Inc",1778012000,22.19,0.69,5000000,1.21,0.00,0.00%,2025-11-06
TRMK,"Trustmark Corp",2264366000,10.54,3.56,223010000,0.67,0.95,2.53%,2025-10-28
TRN,"Trinity Industries",2256160000,21.47,1.3,138400000,1.52,1.2,4.30%,2025-10-30
TRNO,"Terreno Realty Corp",6299356000,24.39,2.52,184500000,1.04,1.99,3.26%,2025-11-05
TRST,"Trustco Bank Corp NY",661858000,12.49,2.81,48830000,0.66,1.46,4.16%,2025-10-21
TRUP,"Trupanion Inc",1844485000,165,0.26,-9630000.,1.83,0.00,0.00%,2025-10-29
TTMI,"TTM Technologies",5905371000,31.93,1.79,56300000,1.63,0.00,0.00%,2025-10-29
TWI,"Titan International",470906000,0,-0.11,-5560000.,1.92,0.00,0.00%,2025-11-06
TWO,"Two Harbors Invt Corp",1001971000,11.32,0.85,298170000,1.28,1.63,16.94%,2025-10-27
UCB,"United Community Banks Inc",3639361000,12.23,2.45,252400000,0.83,0.97,3.24%,2025-10-22
UCTT,"Ultra Clean Holdings",1304094000,26.88,1.07,23700000,2.14,0.00,0.00%,2025-10-28
UE,"Urban Edge Properties",2500725000,14.2,0.84,72560000,1.26,0.74,3.72%,2025-10-29
UFCS,"United Fire Group",778271000,8.34,3.66,61960000,0.49,0.64,2.10%,2025-11-04
UFPT,"U F P Tech Inc",1508060000,19.92,9.82,58980000,1.19,0.00,0.00%,2025-11-04
UHT,"Universal Health Realty Income Trust",500019000,10.66,1.29,19230000,0.98,2.95,8.19%,2025-10-23
UNF,"Unifirst Corp",3120600000,19.96,8.43,145470000,0.86,1.4,0.83%,2025-10-22
UNFI,"United Nat Foods",2551023000,59.24,0.71,-118000000.,0.88,0.00,0.00%,2025-12-09
UNIT,"Uniti Group Inc",836110000,20.53,0.27,93410000,1.56,0.00,0.00%,2025-11-04
UPBD,"Upbound Group Inc",1259817000,5.28,4.12,123480000,1.77,1.56,7.17%,2025-10-30
URBN,"Urban Outfitters Inc",5999899000,13.71,4.88,402460000,1.26,0.00,0.00%,2025-11-25
USNA,"Usana Health Sciences Inc",381702000,7.82,2.67,42030000,0.61,0.00,0.00%,2025-10-28
USPH,"U.S. Physical Therapy",1352092000,33.81,2.63,31420000,1.48,1.79,2.01%,2025-11-04
UTL,"Unitil Corp",867675000,16.25,3.02,47100000,0.65,1.775,3.62%,2025-11-03
UVV,"Universal Corp",1335631000,10.73,5,95050000,0.74,3.26,6.07%,2025-08-06
VBTX,"Veritex Holdings",1656584000,13.57,2.23,107240000,1.06,1.06,3.50%,2025-10-28
VCEL,"Vericel Corporation",1782247000,294.33,0.12,10360000,1.39,0.00,0.00%,2025-11-06
VCTR,"Victory Capital Holdings Inc Cl A",4362265000,11.54,5.66,288860000,1.07,1.89,2.89%,2025-11-06
VCYT,"Veracyte Inc",2818818000,38.95,0.92,24140000,2.11,0.00,0.00%,2025-11-04
VECO,"Veeco Instrument",1755527000,29.78,0.98,73710000,1.27,0.00,0.00%,2025-11-05
VIAV,"Viavi Solutions",2903421000,48.3,0.27,34800000,0.9,0.00,0.00%,2025-10-29
VICR,"Vicor Corp",2579698000,39.34,1.46,6130000,1.73,0.00,0.00%,2025-10-21
VIR,"Vir Biotechnology Inc",802935000,0,-4.,-521960000.,1.27,0.00,0.00%,2025-10-30
VIRT,"Virtu Financial Cm A",5079670000,7.8,4.26,276420000,0.62,0.96,2.89%,2025-10-29
VRE,"Veris Residential Inc",1354619000,23.77,-0.23,-23120000.,1.35,0.32,2.21%,2025-10-22
VRRM,"Verra Mobility Corp",3870465000,20.74,1.17,31450000,0.77,0.00,0.00%,2025-10-29
VRTS,"Virtus Investment Partners",1240906000,6.97,26.4,121750000,1.43,9,4.89%,2025-10-24
VSAT,"Viasat Inc",4791846000,0,-2.36,-574960000.,1.21,0.00,0.00%,2025-11-05
VSCO,"Victorias Secret & Co.",2427366000,12.02,2.52,165000000,2.23,0.00,0.00%,2025-12-04
VSH,"Vishay Intertechnology",2235813000,0,-0.02,-31150000.,1.15,0.4,2.43%,2025-11-05
VSTS,"Vestis Corporation",634150000,19.24,0.25,20970000,0.97,0.00,0.00%,2025-11-20
VTLE,"Vital Energy Inc",599448000,1.87,8.3,-173520000.,1.45,0.00,0.00%,2025-11-05
VTOL,"Bristow Group Inc",1100695000,9.53,4.01,94800000,1.33,0.00,0.00%,2025-11-04
VYX,"NCR Voyix Corporation",1560662000,0,-0.17,958000000,1.71,0.00,0.00%,2025-11-06
WABC,"Westamerica Bancorp",1187802000,10.16,4.74,138640000,0.61,1.8,3.86%,2025-10-16
WAFD,"Wafd Inc",2211691000,10.32,2.7,200040000,0.88,1.07,3.81%,2025-10-16
WAY,"Waystar Holding Corp",6443358000,38.12,0.97,-19130000.,0.69,0.00,0.00%,2025-10-29
WD,"Walker & Dunlop",2768447000,17.94,4.53,108170000,1.59,2.66,3.27%,2025-11-06
WDFC,"W D 40 Company",2632092000,35.49,5.48,69640000,0.09,3.7,1.90%,2025-10-22
WEN,"Wendys Company",1692217000,8.97,0.99,194360000,0.38,0.78,8.78%,2025-11-07
WERN,"Werner Enterprise",1665667000,126.55,0.22,34230000,1.06,0.56,2.01%,2025-10-30
WGO,"Winnebago Industries",842612000,24.05,1.25,13000000,1.14,1.37,4.56%,2025-10-22
WHD,"Cactus Inc Cl A",2922723000,12.67,2.89,185410000,1.48,0.53,1.45%,2025-10-29
WKC,"World Kinect Corp",1394735000,10.87,2.31,67400000,1.31,0.74,2.95%,2025-10-23
WLY,"John Wiley Sons Cl A",1971171000,10.1,3.67,84160000,1.03,1.415,3.82%,2025-12-04
WOR,"Worthington Enterprises Inc",2807066000,17.08,3.31,96050000,1.17,0.76,1.34%,2025-09-23
WRLD,"World Acceptance Corp",944681000,11.71,14.82,89740000,1.35,0.00,0.00%,2025-10-23
WS,"Worthington Steel Inc",1544307000,14.13,1.59,110700000,1.76,0.64,2.11%,2025-09-24
WSC,"Willscot Holdings Corp",3849065000,15.32,1.38,28130000,1.1,0.21,0.99%,2025-11-06
WSFS,"WSFS Financial Corp",2873449000,11.19,4.59,263670000,0.86,0.64,1.25%,2025-10-23
WSR,"Whitestone REIT",607114000,11.44,0.65,36890000,0.95,0.533,4.48%,2025-10-29
WT,"Wisdomtree Inc",1897680000,18.7,0.69,66690000,1.13,0.12,0.93%,2025-10-30
WWW,"Wolverine World Wide",2093103000,20.77,1.24,47900000,1.81,0.4,1.55%,2025-11-06
XHR,"Xenia Hotels & Resorts Inc",1248013000,7.58,0.63,16140000,1.73,0.54,4.14%,2025-10-31
XNCR,"Xencor Inc",1053441000,0,-2.4,-232620000.,0.96,0.00,0.00%,2025-11-05
XPEL,"Xpel Technologies",955826000,19.3,1.79,45490000,1.68,0.00,0.00%,2025-11-06
YELP,"Yelp Inc",2048221000,14.7,2.21,132850000,0.98,0.00,0.00%,2025-11-06
YOU,"Clear Secure Inc Cl A",4157925000,18.84,1.66,169680000,1.24,0.77,2.46%,2025-11-06
ZD,"Ziff Davis Inc",1475288000,6.13,5.87,63050000,1.6,0.00,0.00%,2025-11-06
ZWS,"Zurn Elkay Water Solutions Corp",7663875000,32.91,1.39,160200000,1.09,0.36,0.79%,2025-10-28
"Downloaded from Barchart.com as of 10-19-2025 05:34pm CDT"
